Christian McCaffrey\McCaCh01,CAR,23,RB,587,6
Marlon Mack\MackMa00,IND,23,RB,470,2
Sony Michel\MichSo00,NWE,24,RB,348,3
Derrick Henry\HenrDe00,TEN,25,RB,388,4
Leonard Fournette\FourLe00,JAX,24,RB,512,1
Chris Carson\CarsCh00,SEA,25,RB,380,1
Nick Chubb\ChubNi00,CLE,24,RB,485,4
Dalvin Cook\CookDa01,MIN,24,RB,542,5
Josh Jacobs\JacoJo01,OAK,21,RB,430,4
Ezekiel Elliott\ElliEz00,DAL,24,RB,386,4
Aaron Jones\JoneAa00,GNB,25,RB,302,8
Frank Gore\GoreFr00,BUF,36,RB,333,2
Alvin Kamara\KamaAl00,NOR,24,RB,342,1
Mark Ingram\IngrMa01,BAL,30,RB,372,6
Kerryon Johnson\JohnKe06,DET,22,RB,251,1
Carlos Hyde\HydeCa00,HOU,29,RB,310,2
Le'Veon Bell\BellLe00,NYJ,27,RB,206,0
Phillip Lindsay\LindPh00,DEN,25,RB,327,3
David Montgomery\MontDa01,CHI,22,RB,225,2
Joe Mixon\MixoJo00,CIN,23,RB,242,0
Todd Gurley\GurlTo01,LAR,25,RB,270,5
David Johnson\JohnDa08,ARI,28,RB,264,1
Peyton Barber\BarbPe01,TAM,25,RB,214,3
Austin Ekeler\EkelAu00,LAC,24,RB,227,3
Ronald Jones\JoneRo01,TAM,22,,269,1
James Conner\ConnJa00,PIT,24,RB,194,2
Devonta Freeman\FreeDe00,ATL,27,RB,187,0
Royce Freeman\FreeRo00,DEN,23,,250,0
Miles Sanders\SandMi01,PHI,22,RB,193,0
Jordan Howard\HowaJo00,PHI,25,,248,4
Matt Breida\BreiMa00,SFO,24,RB,340,1
Lamar Jackson\JackLa00,BAL,22,QB,308,1
Josh Allen\AlleJo02,BUF,23,QB,158,3
Raheem Mostert\MostRa00,SFO,27,,236,0
LeSean McCoy\McCoLe01,KAN,31,rb,214,2
Adrian Peterson\PeteAd01,WAS,34,RB,108,1
Gus Edwards\EdwaGu00,BAL,24,,165,0
Saquon Barkley\BarkSa00,NYG,22,RB,237,1
Alexander Mattison\MattAl01,MIN,21,,189,1
Tony Pollard\PollTo00,DAL,22,,168,1
Duke Johnson\JohnDu00,HOU,26,,205,0
Kenyan Drake\DrakKe00,MIA,25,RB,113,0
Damien Williams\WillDa05,KAN,27,RB,57,1
Jon Hilliman\HillJo03,NYG,24,rb,91,0
Kyler Murray\MurrKy00,ARI,22,QB,206,2
Wayne Gallman\GallWa00,NYG,25,rb,107,2
Russell Wilson\WilsRu00,SEA,31,QB,120,2
Malcolm Brown\BrowMa03,LAR,26,,114,2
Jamaal Williams\WillJa06,GNB,24,rb,87,0
Jacoby Brissett\BrisJa00,IND,27,QB,66,1
Rex Burkhead\BurkRe00,NWE,29,rb,112,1
Latavius Murray\MurrLa00,NOR,29,rb,94,1
DeAndre Washington\WashDe00,OAK,26,,74,1
Tevin Coleman\ColeTe01,SFO,26,rb,120,1
Marcus Mariota\MariMa01,TEN,26,QB,125,0
Rashaad Penny\PennRa00,SEA,23,,98,1
Deshaun Watson\WatsDe00,HOU,24,QB,122,3
Chris Thompson\ThomCh03,WAS,29,,67,0
Kalen Ballage\BallKa00,MIA,24,RB,29,0
Giovani Bernard\BernGi00,CIN,28,,45,0
Chase Edmonds\EdmoCh00,ARI,23,rb,127,1
Gardner Minshew\MinsGa00,JAX,23,QB,124,0
Carson Wentz\WentCa00,PHI,27,QB,59,1
Jordan Wilkins\WilkJo01,IND,25,,125,0
Justin Jackson\JackJu01,LAC,24,,142,0
Jaylen Samuels\SamuJa00,PIT,23,,50,1
Ito Smith\SmitIt00,ATL,24,,93,1
Jeff Wilson\WilsJe01,SFO,24,,52,4
Tarik Cohen\CoheTa00,CHI,24,RB,37,0
Darrel Williams\WillDa10,KAN,24,,75,2
Jameis Winston\WinsJa00,TAM,25,QB,37,0
C.J. Anderson\AndeC.00,DET,28,,43,0
Jimmy Garoppolo\GaroJi00,SFO,28,QB,6,0
Dak Prescott\PresDa01,DAL,26,QB,122,1
James White\WhitJa02,NWE,27,,62,0
Kirk Cousins\CousKi00,MIN,31,QB,40,1
Daniel Jones\JoneDa05,NYG,22,QB,86,2
Dion Lewis\LewiDi00,TEN,29,,56,0
Patrick Mahomes\MahoPa00,KAN,24,QB,81,0
Darren Sproles\SproDa00,PHI,36,rb,59,0
Tom Brady\BradTo00,NWE,42,QB,3,3
Aaron Rodgers\RodgAa00,GNB,36,QB,52,0
Teddy Bridgewater\BridTe00,NOR,27,QB,32,0
Jared Goff\GoffJa00,LAR,25,QB,13,1
Justice Hill\HillJu00,BAL,22,,47,0
Nyheim Hines\HineNy00,IND,23,rb,30,0
Ty Johnson\JohnTy02,DET,,,54,0
Brandon Bolden\BoldBr00,NWE,29,rb,45,2
Melvin Gordon\GordMe00,LAC,26,rb,31,0
Matthew Stafford\StafMa00,DET,31,QB,54,0
Elijhaa Penny\PennEl00,NYG,26,rb,36,0
Jalen Richard\RichJa01,OAK,26,,52,0
Matt Ryan\RyanMa00,ATL,34,QB,55,1
Ryquell Armstead\ArmsRy00,JAX,23,,48,0
Derek Carr\CarrDe02,OAK,28,QB,27,0
Derrius Guice\GuicDe00,WAS,22,rb,18,0
Cordarrelle Patterson\PattCo00,CHI,28,WR,71,0
Troymaine Pope\PopeTr00,LAC,26,,20,0
Devin Singletary\SingDe00,BUF,22,rb,127,1
Mark Walton\WaltMa00,MIA,22,,39,0
T.J. Yeldon\YeldT.00,BUF,26,,45,0
Mike Davis\DaviMi01,CHI,26,rb,22,0
Ty Montgomery\MontTy01,NYJ,26,,31,0
C.J. Prosise\ProsC.00,SEA,25,,16,1
Andy Dalton\DaltAn00,CIN,32,QB,16,1
Mason Rudolph\RudoMa00,PIT,24,QB,19,0
Reggie Bonnafon\BonnRe00,CAR,23,,85,1
Joe Flacco\FlacJo00,DEN,34,QB,12,0
Taysom Hill\HillTa00,NOR,29,qb,43,0
Dontrell Hilliard\HillDo00,CLE,24,,31,2
J.D. McKissic\McKiJ.00,DET,26,rb,76,0
Wendell Smallwood\SmalWe00,WAS,25,,31,0
Ameer Abdullah\AbduAm00,MIN,26,,34,0
Tra Carson\CarsTr01,GNB,27,,14,0
Chase Daniel\DaniCh00,CHI,33,qb,6,0
Philip Rivers\RivePh00,LAC,38,QB,24,0
Benny Snell\SnelBe00,PIT,21,,30,0
Cam Newton\NewtCa00,CAR,30,qb,-2,0
Mitchell Trubisky\TrubMi00,CHI,25,QB,21,0
Robert Woods\WoodRo02,LAR,27,WR,43,0
Kyle Allen\AlleKy00,CAR,23,QB,3,0
Robert Griffin\GrifRo01,BAL,29,,9,0
D'Ernest Johnson\JohnDE04,CLE,23,,21,0
Baker Mayfield\MayfBa00,CLE,24,QB,0,0
Isaiah McKenzie\McKeIs00,BUF,24,,14,0
Curtis Samuel\SamuCu00,CAR,23,WR,28,0
Sterling Shepard\ShepSt00,NYG,26,WR,42,0
Steven Sims\SimsSt00,WAS,22,,81,1
Tyrod Taylor\TaylTy00,LAC,30,,-1,0
Darwin Thompson\ThomDa06,KAN,23,,9,0
Mike Boone\BoonMi00,MIN,24,,28,0
Brandin Cooks\CookBr00,LAR,26,WR,37,0
Phillip Dorsett\DorsPh00,NWE,26,,21,0
Jakeem Grant\GranJa00,MIA,27,wr,-2,0
Andy Isabella\IsabAn00,ARI,23,,16,0
Case Keenum\KeenCa00,WAS,31,QB,2,0
Josh Rosen\RoseJo01,MIA,22,QB,13,0
Derek Watt\WattDe00,LAC,27,,3,0
Alex Armah\ArmaAl00,CAR,25,,5,1
Tavon Austin\AustTa00,DAL,29,,17,0
Odell Beckham\BeckOd00,CLE,27,WR,15,0
Randall Cobb\CobbRa00,DAL,29,wr,11,0
Trevor Davis\DaviTr03,2TM,26,,74,1
James Develin\DeveJa00,NWE,31,fb,3,0
Julian Edelman\EdelJu00,NWE,33,WR,9,0
Evan Engram\EngrEv00,NYG,25,TE,5,0
Ryan Fitzpatrick\FitzRy00,MIA,37,QB,14,0
Taylor Gabriel\GabrTa00,CHI,28,wr,21,0
Mecole Hardman\HardMe00,KAN,21,wr,1,0
Dwayne Haskins\HaskDw00,WAS,22,,23,0
Devlin Hodges\HodgDe00,PIT,23,,20,0
Alec Ingold\IngoAl01,OAK,23,fb,4,0
Christian Kirk\KirkCh01,ARI,23,WR,18,0
Cooper Kupp\KuppCo00,LAR,26,WR,4,0
Eli Manning\MannEl00,NYG,38,qb,8,0
Sean Mannion\MannSe00,MIN,27,,-2,0
Josh McCown\McCoJo01,PHI,40,,-2,0
Colt McCoy\McCoCo00,WAS,33,qb,14,0
Dare Ogunbowale\OgunDa00,TAM,25,,-4,0
Deebo Samuel\SamuDe00,SFO,23,WR,7,0
Mohamed Sanu\SanuMo00,ATL,30,WR,3,0
Ryan Tannehill\TannRy00,TEN,31,,-2,0
Dede Westbrook\WestDe00,JAX,26,WR,6,0
Keenan Allen\AlleKe00,LAC,27,WR,3,0
Geronimo Allison\AlliGe01,GNB,25,wr,7,0
Tyler Boyd\BoydTy00,CIN,25,WR,3,0
Antonio Brown\BrowAn04,NWE,31,,5,0
John Brown\BrowJo02,BUF,29,WR,4,0
Parris Campbell\CampPa00,IND,22,wr,7,0
Keke Coutee\CoutKe00,HOU,22,WR,10,0
Jamison Crowder\CrowJa00,NYJ,26,WR,4,0
Sam Darnold\DarnSa00,NYJ,22,qb,0,0
Patrick DiMarco\DiMaPa00,BUF,30,fb,1,0
Will Dissly\DissWi00,SEA,23,TE,7,0
Gerald Everett\EverGe00,LAR,25,te,0,0
Noah Fant\FantNo00,DEN,22,TE,-5,0
Bennie Fowler\FowlBe00,NYG,28,wr,20,0
Russell Gage\GageRu00,ATL,23,,-1,0
Ted Ginn\GinnTe00,NOR,34,WR,1,0
Marquise Goodwin\GoodMa00,SFO,29,WR,15,0
Josh Gordon\GordJo02,NWE,28,WR,1,0
Deonte Harris\HarrDe07,NOR,22,,10,0
Erik Harris\HarrEr00,OAK,29,S,4,0
Darrell Henderson\HendDa00,LAR,22,,0,0
Tyreek Hill\HillTy00,KAN,25,wr,5,0
Johnny Holton\HoltJo00,PIT,28,,9,0
Adam Humphries\HumpAd00,TEN,26,wr,1,0
Alshon Jeffery\JeffAl00,PHI,29,WR,2,1
Diontae Johnson\JohnDi01,PIT,23,WR,6,0
KeeSean Johnson\JohnKe07,ARI,23,wr,3,0
Julio Jones\JoneJu02,ATL,30,WR,1,0
Marvin Jones\JoneMa02,DET,29,WR,4,0
Kyle Juszczyk\JuszKy00,SFO,28,RB,6,0
George Kittle\KittGe00,SFO,26,TE,18,0
Dawson Knox\KnoxDa00,BUF,23,te,9,0
Jarvis Landry\LandJa00,CLE,27,WR,10,0
Anthony Levine\LeviAn00,BAL,32,,60,0
Zach Line\LineZa01,NOR,29,fb,0,0
Tyler Lockett\LockTy00,SEA,27,WR,-8,0
Scott Miller\MillSc01,TAM,22,,18,0
D.J. Moore\MoorD.00,CAR,22,WR,12,0
Matt Moore\MoorMa01,KAN,35,,-1,0
Zach Pascal\PascZa00,IND,25,WR,12,0
Breshad Perriman\PerrBr02,TAM,26,,13,0
Bilal Powell\PoweBi00,NYJ,31,,4,0
Andre Roberts\RobeAn00,BUF,31,,7,0
Ben Roethlisberger\RoetBe00,PIT,37,qb,7,0
Anthony Sherman\SherAn00,KAN,31,,2,0
Jonnu Smith\SmitJo01,TEN,24,TE,10,0
Vyncint Smith\SmitVy00,NYJ,23,,19,1
Diontae Spencer\SpenDi00,DEN,27,,9,0
Adam Thielen\ThieAd00,MIN,29,WR,1,1
Marquez Valdes-Scantling\ValdMa00,GNB,25,WR,0,0
Danny Vitale\VitaDa00,GNB,26,fb,3,0
Darren Waller\WallDa01,OAK,27,TE,7,0
Albert Wilson\WilsAl02,MIA,27,,1,0
Tom Brady\BradTo00,NWE,42,QB,1743,10
Jared Goff\GoffJa00,LAR,25,QB,1649,7
Matt Ryan\RyanMa00,ATL,34,QB,1655,11
Andy Dalton\DaltAn00,CIN,32,QB,1412,7
Kyler Murray\MurrKy00,ARI,22,QB,1324,4
Patrick Mahomes\MahoPa00,KAN,24,QB,1831,11
Philip Rivers\RivePh00,LAC,38,QB,1465,7
Aaron Rodgers\RodgAa00,GNB,36,QB,1307,6
Carson Wentz\WentCa00,PHI,27,QB,1152,10
Dak Prescott\PresDa01,DAL,26,QB,1606,11
Joe Flacco\FlacJo00,DEN,34,QB,1258,6
Jacoby Brissett\BrisJa00,IND,27,QB,1062,10
Jameis Winston\WinsJa00,TAM,25,QB,1371,11
Gardner Minshew\MinsGa00,JAX,23,QB,1279,9
Josh Allen\AlleJo02,BUF,23,QB,1122,5
Lamar Jackson\JackLa00,BAL,22,QB,1271,11
Derek Carr\CarrDe02,OAK,28,QB,1117,6
Baker Mayfield\MayfBa00,CLE,24,QB,1247,4
Deshaun Watson\WatsDe00,HOU,24,QB,1364,11
Russell Wilson\WilsRu00,SEA,31,QB,1409,12
Marcus Mariota\MariMa01,TEN,26,QB,1116,7
Matthew Stafford\StafMa00,DET,31,QB,1122,9
Daniel Jones\JoneDa05,NYG,22,QB,921,5
Case Keenum\KeenCa00,WAS,31,QB,970,7
Kirk Cousins\CousKi00,MIN,31,QB,1041,5
Teddy Bridgewater\BridTe00,NOR,27,QB,849,6
Jimmy Garoppolo\GaroJi00,SFO,28,QB,920,7
Mitchell Trubisky\TrubMi00,CHI,25,QB,588,3
Mason Rudolph\RudoMa00,PIT,24,QB,646,7
Kyle Allen\AlleKy00,CAR,23,QB,674,5
Eli Manning\MannEl00,NYG,38,qb,556,2
Cam Newton\NewtCa00,CAR,30,qb,572,0
Josh Rosen\RoseJo01,MIA,22,QB,482,1
Luke Falk\FalkLu00,NYJ,25,QB,416,0
Ben Roethlisberger\RoetBe00,PIT,37,qb,351,0
Chase Daniel\DaniCh00,CHI,33,qb,426,3
Ryan Fitzpatrick\FitzRy00,MIA,37,QB,303,1
Drew Brees\BreeDr00,NOR,40,qb,408,2
Sam Darnold\DarnSa00,NYJ,22,qb,175,1
Colt McCoy\McCoCo00,WAS,33,qb,122,0
Dwayne Haskins\HaskDw00,WAS,22,,107,0
Matt Barkley\BarkMa00,BUF,29,,127,0
Devlin Hodges\HodgDe00,PIT,23,,68,0
Nick Foles\FoleNi00,JAX,30,qb,75,1
Robert Griffin\GrifRo01,BAL,29,,55,1
Trevor Siemian\SiemTr00,NYJ,28,qb,3,0
Josh McCown\McCoJo01,PHI,40,,24,0
Jaylen Samuels\SamuJa00,PIT,23,,35,0
Jarrett Stidham\StidJa00,NWE,23,,14,0
Odell Beckham\BeckOd00,CLE,27,WR,20,0
Julian Edelman\EdelJu00,NWE,33,WR,32,0
Garrett Gilbert\GilbGa01,CLE,28,,0,0
Taysom Hill\HillTa00,NOR,29,qb,18,0
DeAndre Hopkins\HopkDe00,HOU,27,WR,0,0
Alvin Kamara\KamaAl00,NOR,24,RB,13,0
Christian McCaffrey\McCaCh01,CAR,23,RB,0,0
Matt Moore\MoorMa01,KAN,35,,0,0
Dante Pettis\PettDa00,SFO,24,WR,16,0
Tyrod Taylor\TaylTy00,LAC,30,,7,0
Michael Thomas\ThomMi05,NOR,26,WR,543,3
Cooper Kupp\KuppCo00,LAR,26,WR,505,4
Austin Ekeler\EkelAu00,LAC,24,RB,356,3
Keenan Allen\AlleKe00,LAC,27,WR,470,3
Julian Edelman\EdelJu00,NWE,33,WR,449,2
Tyler Boyd\BoydTy00,CIN,25,WR,406,1
Darren Waller\WallDa01,OAK,27,TE,359,0
Austin Hooper\HoopAu00,ATL,25,TE,363,2
Evan Engram\EngrEv00,NYG,25,TE,373,2
Chris Godwin\GodwCh00,TAM,23,WR,511,6
Amari Cooper\CoopAm00,DAL,25,WR,512,5
DeAndre Hopkins\HopkDe00,HOU,27,WR,347,2
Christian McCaffrey\McCaCh01,CAR,23,RB,279,1
Allen Robinson\RobiAl02,CHI,26,WR,377,2
James White\WhitJa02,NWE,27,,224,1
Robert Woods\WoodRo02,LAR,27,WR,355,0
Tyler Lockett\LockTy00,SEA,27,WR,379,3
Zach Ertz\ErtzZa00,PHI,29,TE,312,1
Larry Fitzgerald\FitzLa00,ARI,36,WR,358,2
Mohamed Sanu\SanuMo00,ATL,30,WR,281,1
Mark Andrews\AndrMa00,BAL,23,te,311,3
John Brown\BrowJo02,BUF,29,WR,390,1
Will Fuller\FullWi01,HOU,25,WR,400,3
Travis Kelce\KelcTr00,KAN,30,TE,439,1
Cole Beasley\BeasCo00,BUF,30,WR,267,0
Le'Veon Bell\BellLe00,NYJ,27,RB,166,1
DJ Chark\CharDJ00,JAX,23,WR,485,5
Julio Jones\JoneJu02,ATL,30,WR,359,4
Alvin Kamara\KamaAl00,NOR,24,RB,241,1
D.J. Moore\MoorD.00,CAR,22,WR,352,1
Courtland Sutton\SuttCo00,DEN,24,WR,401,3
Davante Adams\AdamDa01,GNB,27,WR,378,0
Sterling Shepard\ShepSt00,NYG,26,WR,267,1
Chris Thompson\ThomCh03,WAS,29,,268,0
T.Y. Hilton\HiltT.00,IND,30,WR,232,4
David Johnson\JohnDa08,ARI,28,RB,247,2
